yearID,w_BB,w_HBP,w_1B,w_2B,w_3B,w_HR
1962,0.41559680659109044,-3.679702136595325e-11,0.858834556810885,1.010437761072459,1.6347086799571677,1.8535133753234774
1963,0.35497834944376505,1.0455832115691833e-16,0.541608019914102,0.5558910413014404,0.9334854172889102,1.4557794116531892
1964,0.3440265040860351,-4.6586274874427384e-11,0.6766629196134317,0.8193265594884145,0.7511383598954744,1.083810852443523
1965,0.38358077630478093,-8.171901920981964e-17,0.632694132150393,0.9888128317743297,0.042468995467862314,1.2628773885178943
1966,0.2232144429830285,-1.4894005713211756e-11,0.2727719687729233,1.4085366374741268,0.4639481999960733,1.1625787866810142
1967,0.3045403644163447,-3.1622797590536307e-11,0.4300741607921401,0.49242573962244063,1.990188956455932,1.7281245133280583
1968,0.49522320530138497,4.440356939326602e-11,0.4405472806304722,0.8509099284141961,2.2449587461186473,1.4270068193733068
1969,0.4410660845022931,1.8410529705810456e-11,0.6496313848334556,0.3670759242089261,0.8194937536631626,1.503679242452983
1970,0.39744234681912094,-0.20789665498174337,0.5847786141865927,0.9019162580887201,1.3147367510146668,1.3724950400034845
1971,0.42622571791406505,0.4031647296931702,0.5336606419986223,0.9847152396540665,1.5561218494358915,1.2521892314234282
1972,0.34424574189509455,1.4088772227801738,0.34040775364140186,0.9760375996270539,2.0379593555109388,1.5299609867969801
1973,0.40200284599568725,-0.07976415432986705,0.43336248816770584,0.9852702239595938,1.0871930992723868,1.177951292357192
1974,0.30384949090749486,0.18551505606644625,0.43408530405916124,0.911878332205533,1.3951345656221643,1.695256628638691
1975,0.4341641881508167,1.2463752195982418,0.5419266804788059,0.5645732869336471,1.8689233552687021,1.6303092076982333
1976,0.3707976708015033,1.2824433748588837,0.5203968846095459,0.7678123463370534,1.212011772126342,1.383461240195903
1977,0.4743438032568279,1.0766756295889106,0.7025797539537324,0.3195877558295621,1.7780382945487823,1.3507148810448564
1978,0.24480339358530512,1.2305598159780278,0.44660986534051794,0.9413285239148635,2.117117959681271,1.5353639159752928
1979,0.3218124789717174,0.6524042075036585,0.610331186957849,0.40047120150595383,1.0879351609551424,1.6524943202411841
1980,0.5090690565202817,0.20510024954775075,0.4591182958149487,1.0378493072148989,0.7103062195439946,1.2910314203762925
1981,0.29487229420068095,1.2445158983591003,0.49348931185802936,0.7995681662598422,0.865218003281095,1.3024883265025857
1982,0.30389665178464415,-0.3539559255975284,0.461225705437716,0.626617695329205,1.7546538664536833,1.4962916471933871
1983,0.36586952622732993,1.2882302689308673,0.47236842938676604,0.48287965721045634,1.0752435735630037,1.5076778044789356
1984,0.39319035941796293,0.08573338344293013,0.5080354033661484,0.2631666195206523,1.5568757830836226,1.2004937815640433
1985,0.3640236180836667,0.8238981765478441,0.6815800543536917,0.5311965410691126,1.8065068011568108,1.4448482856950249
1986,0.4655314815732642,1.1828467742612139,0.7150949752830503,0.3627990687677205,1.4790901933225276,1.1818899455063483
1987,0.5232883160774129,-0.08290662390424686,0.5651865454724169,1.2804145762292594,0.6171457761744588,1.2002581200383906
1988,0.349324762846808,0.7223938133834693,0.5521519958943103,0.7531686564278699,0.4955282625052395,1.2610539310280102
1989,0.26102905116675656,0.8705860290982681,0.515452132612856,0.6135246218749237,1.581192122830589,1.5568859376198683
1990,0.17971910733268157,-0.04273927697071844,0.3781883994440236,0.7277641608036278,1.6973327732025183,1.716960790815782
1991,0.49583806680640874,-0.044860861941998564,0.5106805925630699,0.4279846002017744,1.4904263788528187,1.4092602351622063
1992,0.4006117854692869,0.36305791010952504,0.5120186318546129,0.7441829396566408,0.7086721542601735,1.2114309563538335
1993,0.2708709422081026,-0.09754816914684472,0.46578191333317,0.7144003439578408,2.012081115904305,1.7189401245213625
1994,0.38970784715855245,0.29244682221228757,0.3511889195323222,0.818907872182451,1.4469320947626931,1.56235159018029
1995,0.3515955504920005,0.3010863135334425,0.5457040680167957,0.7593213919156403,0.7406850600780714,1.4650891773439945
1996,0.2680666823083353,0.4854764991388034,0.4091406496425751,1.020666305628803,1.262018882312363,1.3686869794863745
1997,0.36425804690913766,0.5547767067871727,0.6117281321178978,0.4252152668350756,1.24787013317775,1.3094665256798534
1998,0.47887045911694315,0.7029146244902211,0.6533870774448638,0.5573227214252289,0.9596176643272631,1.3084426861821394
1999,0.42229818435248756,0.31616422025586033,0.5590206742341655,0.5974783025823787,1.606647187911932,1.5314518109884017
2000,0.47699597326457566,0.44845887019933084,0.7754062608602712,0.47863768456289524,1.3939847911099135,1.3362098732299479
2001,0.4655176341280767,0.46886489799380104,0.6104474171587126,0.6221066628590233,1.0903174346892222,1.1821228034956355
2002,0.16267456725336582,0.4787473459565419,0.7689997260826502,0.5684020663569189,1.616005067593953,1.988274868208519
2003,0.24256103939004103,0.3404885956440946,0.541928233446159,1.0961173913567142,0.364951996776826,1.2879961693028668
2004,0.22964705932933716,1.0713276795280695,0.6324651258874008,0.6914154516789219,1.929246022743873,1.9095652838653403
2005,0.33692362375442275,0.3710478863132187,0.7566562024185111,0.7842634612831123,0.6237230504853426,1.3349329996664636
2006,0.2838593101523542,0.2235591538088748,0.5542440478305641,0.882998239028103,1.5950621677839525,1.5276899631619685
2007,0.2539563510143723,0.3263189211043782,0.5874815425556102,0.7964491069840911,1.5874119775760809,1.3122803234125788
2008,0.20325590701090834,0.4802402877287264,0.5404925506689573,0.8372480116661347,1.7245944959826582,1.5074948229729994
2009,0.2551287851109296,0.5614773240761295,0.635900952041862,0.8911558808120459,1.6002294691444912,1.6103419790652804
2010,0.5029444043879251,0.3132694499304076,0.43923561932361244,0.43493407298153564,1.0948558193730316,1.392861776103218
2011,0.39079594594522993,0.11034594745765691,0.47428855903133726,0.5789672406462154,1.7358787861397094,1.4896862510149935
2012,0.31467638952188404,0.1691969204730741,0.47730083437337756,0.6084017160578399,1.1337727530808168,1.4456430718074773
2013,0.2765428237319777,0.5116599093545697,0.5206861654077724,0.958395026891723,0.8344122554391689,1.3784222832804254
2014,0.2842000584756479,-0.14842905794037842,0.4058856927051659,0.9118948094868151,1.2333460747192149,1.1750706584778776
2015,0.09538768784667151,0.03100481464163929,0.41209999540171793,1.2714791989628913,0.4493746261240621,1.6228632088758137
2016,0.23749027878087947,0.43119304700359784,0.47502681580557926,1.0959923271771097,0.5166300868866802,1.2540644329040789
2017,0.3981756532389429,0.6702469250004608,0.6235741591886856,0.8539218961692745,0.83398659462222,1.424183422876801
2018,0.37200590131170264,0.26497804764776034,0.47007539535146226,0.9342131884739273,0.6002552456409749,1.4814257590178794
2019,0.3583362922429201,0.13115860778839394,0.5363000336606092,0.7447418824949712,0.7738315938641547,1.4548889975575903
2020,0.38459659763367493,-0.05691229815720966,0.37459401908844625,0.39786594755551985,2.1754389255661817,1.2861464388153099
2021,0.28462448183027467,0.33068534193337307,0.3622007157355014,0.8528983808579063,2.4423376113607853,1.6903079221375368
2022,0.3583193179982591,0.3512064080543169,0.40545716402269993,0.7999180930265082,0.7913912920320856,1.3628519601165898
2023,0.34070408764388005,0.28568771149536776,0.3769013552701102,1.133129703487533,1.9160687515073738,1.4563081335933528
